,beta,gammam,gammamRNA,gammad,alphaass,alphadiss,phi0,f1,f2,f12,kb1,ku1,kb2,ku2,bcoop,ucoop,DNAtot,taum,taumRNA,period,DNA0_min,DNA0_max,DNA1_min,DNA1_max,DNA2_min,DNA2_max,DNA12_min,DNA12_max,mRNA_min,mRNA_max,m_min,m_max,d_min,d_max,selected,monotonicity_type
1,0.8032,0.2506,2.1959999999999997,0.02755,0.0309,33.03,0.9549,0.001021,27.78,0.001518,0.0328,0.01197,91.73,16.78,0.9782,0.3075,1,0,0,,,,,,,,,,,,,,,,False,1.0
2,2.205,0.29,0.5174,0.029410000000000002,0.023280000000000002,0.7933,0.06404,66.78,0.07128,0.001842,0.4692,1.431,0.07046000000000001,0.01433,0.054979999999999994,2.316,1,0,0,206.1,0.3125,0.716,0.006182,0.07200000000000001,0.267,0.6378,9.549999999999999e-05,0.0028079999999999997,0.1237,0.6465,0.9775,4.649,0.032619999999999996,0.6031,False,1.0
3,0.06609,0.3037,3.391,0.09393,0.4067,11.03,5.021,47.72,0.001083,0.02935,68.35,25.47,0.004753,0.04693,13.67,0.09424,1,0,0,147.6,0.1222,0.7226,0.0119,0.4795,0.0009097000000000002,0.1081,0.2094,0.6526,1.619,34.17,0.43799999999999994,5.547000000000001,0.007991,1.122,False,1.0
4,12.06,0.65,0.605,0.05094,0.04534,430.6,9.029,41.18,0.01036,0.009204,10.66,625.7,0.0018920000000000002,0.047369999999999995,4.005,0.07499,1,0,0,29.9,0.01152,0.3465,0.0009951,0.1406,0.007984999999999999,0.6291,0.1894,0.9597,2.635,72.89,56.72,1088.0,0.3387,124.6,False,1.0
5,1.78,0.2442,0.2473,0.002194,0.03707,14.26,1.0859999999999999,0.2998,90.23,0.058879999999999995,0.002107,0.0438,10.64,827.6,14.48,0.1494,1,0,0,63.2,0.02841,0.3793,0.004531,0.05354,0.02279,0.2541,0.4593,0.9331,2.9960000000000004,19.56,24.43,110.3,1.5519999999999998,31.62,True,1.0
6,1.406,0.3933,1.5630000000000002,0.002321,0.1029,470.4,4.468999999999999,0.5032,37.48,0.008851000000000001,0.013590000000000001,0.01489,1.886,4.965,0.7595,8.51,1,0,0,223.8,0.1659,0.8715,0.006503,0.4692,0.09507,0.5127,0.00025069999999999997,0.07705,3.037,51.08,10.96,170.1,0.026269999999999998,6.33,False,1.0
7,1.839,0.521,0.09517,0.009809,0.0863,764.2,0.2177,0.3753,68.22,0.01108,0.01484,0.01529,1.4469999999999998,2.918,0.2179,0.09149,1,0,0,,,,,,,,,,,,,,,,False,1.0
8,0.8114,0.2466,0.3253,0.001716,0.047560000000000005,315.0,0.3527,84.53,0.1051,0.0071530000000000005,20.92,13.04,0.1108,0.01738,0.4718,0.2839,1,0,0,,,,,,,,,,,,,,,,False,1.0
9,1.722,0.9670000000000001,0.2642,0.05339,0.2899,10.9,0.04467,0.5719,82.93,0.02962,0.2244,0.016669999999999997,2.295,1.104,0.08448,0.1404,1,0,0,164.4,0.0779,0.7771,0.004716,0.3237,0.1946,0.33399999999999996,0.002065,0.41600000000000004,0.2001,4.123,0.3716,6.94,0.004303,1.271,False,1.0
10,0.09458,0.1633,2.2640000000000002,0.011059999999999999,0.3373,9.993,2.576,96.62,0.0127,0.035230000000000004,3.735,8.677,0.018359999999999998,0.02461,1.236,0.05099,1,0,0,142.5,0.05142000000000001,0.7272,0.0051719999999999995,0.3316,0.01215,0.4538,0.08288999999999999,0.8591,1.006,36.66,0.8351,12.36,0.024630000000000003,5.147,False,1.0
11,32.36,0.5412,4.466,0.001768,0.08926,0.8817,0.035460000000000005,90.55,0.6272,0.01098,1.5930000000000002,3.5389999999999997,0.02655,0.01027,11.17,0.5745,1,0,0,100.0,0.09711,0.4533,0.0062829999999999995,0.1057,0.060379999999999996,0.5069,0.185,0.7683,0.009037,0.07824,0.5936,3.7510000000000003,0.04541,1.315,False,1.0
12,0.1727,0.07902999999999999,2.9410000000000003,0.005345,0.01517,29.2,9.494,0.01529,53.83,0.1328,0.01415,0.01115,0.4039,0.6165,0.3151,0.06168,1,0,0,236.5,0.05049,0.6563,0.007718000000000001,0.4204,0.0316,0.4384,0.0481,0.7528,2.846,73.67,6.79,117.1,0.02417,7.127000000000001,False,1.0
13,0.1291,0.05152,0.26899999999999996,0.016880000000000003,0.1384,514.2,0.3959,16.32,0.2005,0.01067,99.92,9.509,0.009198,0.01433,6.374,0.06809,1,0,0,598.9,0.2365,0.6799,0.030119999999999997,0.3792,0.002679,0.06564,0.2223,0.5069,1.611,9.525,4.198,22.64,0.0047469999999999995,0.1379,False,0.0
14,42.66,0.1532,1.034,0.06171,0.2523,96.71,0.08366,24.21,0.0401,0.0048579999999999995,0.09046,0.2637,0.01183,0.01012,2.175,0.058120000000000005,1,0,0,125.6,0.05099,0.1909,0.006444,0.06626,0.027880000000000002,0.2401,0.5777,0.8794,0.02306,0.1379,6.688,32.47,0.1167,2.7489999999999997,False,0.0
15,4.029,0.8338,0.8571,0.007051000000000001,0.168,11.96,0.2353,3.253,71.29,0.002098,0.01097,0.03557,2.51,9.897,11.16,0.5365,1,0,0,47.2,0.1404,0.5293,0.0175,0.1762,0.03621,0.3146,0.2616,0.7173,0.7204,3.445,3.575,15.19,0.1813,3.233,False,1.0
16,1.686,0.4964,0.8984,0.001516,0.1695,156.0,0.9631,0.1787,75.86,0.02089,0.2731,0.0212,80.68,90.38,0.7554,5.257999999999999,1,0,0,62.0,0.05426,0.569,0.002068,0.1918,0.4054,0.8271,0.00048550000000000004,0.1629,0.6663,14.8,2.381,42.09,0.006239,1.925,False,1.0
17,26.65,0.5761,0.7697,0.007824,0.07507,213.8,0.1941,0.3822,14.79,0.004543,0.015880000000000002,0.0161,0.7359,0.4373,2.293,0.1038,1,0,0,122.4,0.2054,0.4619,0.03257,0.2377,0.02309,0.1798,0.3404,0.5772,0.2427,0.9446,11.28,43.36,0.0447,0.6601,False,0.0
18,9.408,0.6647,0.2293,0.001359,0.1188,298.9,0.1175,0.0022329999999999997,26.23,0.08263999999999999,2.537,0.013380000000000001,56.03,1.9280000000000002,1.624,0.0725,1,0,0,59.8,0.02433,0.1565,0.004693999999999999,0.06106,0.03155,0.4042,0.4651,0.9102,0.1359,0.7703,1.992,10.59,0.001626,0.04455,False,0.0
19,23.73,0.6123,0.2474,0.003088,0.07715,0.8164,0.01285,0.003341,64.27,0.49200000000000005,0.010320000000000001,0.030739999999999996,58.31,640.3,11.45,0.1116,1,0,0,84.1,0.0819,0.2918,0.006761,0.03974,0.030489999999999996,0.171,0.5801,0.8596,0.04912,0.1547,1.9709999999999999,5.565,0.3809,2.872,False,1.0
20,2.367,0.3337,1.31,0.08373,0.043089999999999996,75.13,2.4730000000000003,0.4332,32.23,0.003333,0.009937,0.0133,0.7938,4.263,0.2995,2.43,1,0,0,121.5,0.1495,0.6234,0.01818,0.3313,0.3178,0.6059,0.001715,0.1057,2.481,20.79,17.68,133.5,0.1791,10.21,False,1.0
21,0.3722,0.1918,0.09085,0.02201,0.126,80.95,0.1195,65.57,0.002796,0.1821,6.074,8.106,0.06982999999999999,0.04923,2.293,0.06575,1,0,0,178.7,0.1512,0.8236,0.01324,0.1341,0.03775,0.242,0.07859,0.7351,2.03,10.9,4.1080000000000005,19.96,0.02638,0.6195,False,0.0
22,1.65,0.2916,0.8684,0.0069180000000000005,0.2209,86.25,0.8981,89.58,0.0695,1.442,0.5454,3.841,0.001452,0.01254,6.572,0.09264,1,0,0,115.5,0.052289999999999996,0.2717,0.00596,0.1379,0.006745,0.2461,0.5353,0.8813,1.611,13.85,9.238,68.47,0.2186,12.01,True,1.0
23,1.79,0.4608,1.38,0.0040030000000000005,0.01162,21.6,0.519,25.92,0.14,0.6552,87.01,12.17,0.1388,0.05215,0.4818,0.3708,1,0,0,,,,,,,,,,,,,,,,False,1.0
24,37.21,0.447,3.865,0.09585,0.2342,4.665,0.122,69.86,0.0025210000000000002,0.335,10.64,57.14,0.01426,0.01899,3.9939999999999998,0.1222,1,0,0,51.6,0.036289999999999996,0.2565,0.003954999999999999,0.09621,0.023,0.462,0.3484,0.8994,0.01756,0.2233,1.581,11.1,0.126,6.045,False,1.0
25,72.62,0.3947,5.472,0.027880000000000002,0.45,389.5,1.227,0.006514,18.96,0.1127,0.0033229999999999996,0.0138,8.006,32.4,14.32,0.09858,1,0,0,63.1,0.08249,0.1382,0.009978,0.045689999999999995,0.0117,0.06833,0.7924,0.8693,0.08997999999999999,0.2371,16.76,42.0,0.3245,2.0380000000000003,False,0.0
26,0.034230000000000003,0.1842,0.1494,0.0006573,0.01137,110.0,2.932,0.01319,36.52,0.4576,0.07451,0.01789,1.27,0.1734,0.7827,0.06641,1,0,0,475.7,0.1385,0.8857,0.009502,0.45799999999999996,0.037739999999999996,0.045860000000000005,0.03186,0.5871,21.25,322.4,4.013999999999999,58.25,0.001709,0.3505,False,0.0
27,8.316,0.929,0.341,0.002581,0.07061,134.6,0.09642,54.23,0.011940000000000001,0.0018789999999999998,3.465,2.094,0.1106,0.03562,9.829,0.3978,1,0,0,239.9,0.4396,0.9322,0.004377000000000001,0.1114,0.03361,0.272,0.015309999999999999,0.39299999999999996,0.2777,1.825,2.51,16.22,0.0033710000000000003,0.1378,False,0.0
28,104.1,0.6848,4.751,0.07767,0.1582,236.4,0.08338999999999999,0.025480000000000003,71.84,0.8098,0.001224,0.2793,3.5980000000000003,13.94,7.962999999999999,0.1061,1,0,0,,,,,,,,,,,,,,,,False,1.0
29,1.7209999999999999,0.1569,0.8292,0.01991,0.05516,13.57,0.3006,22.96,0.058679999999999996,1.056,0.1827,0.5915,0.01316,0.015040000000000001,1.194,0.4169,1,0,0,265.5,0.5134,0.7491,0.03877,0.11900000000000001,0.1612,0.2724,0.03038,0.142,0.5972,1.242,6.565,13.29,0.175,0.7172,False,1.0
30,0.3007,0.9762,0.7949,0.005883,0.020380000000000002,1.8230000000000002,9.618,49.97,0.0809,0.0205,7.537999999999999,77.76,0.01319,0.018269999999999998,7.081,0.6025,1,0,0,83.1,0.134,0.6363,0.001127,0.1278,0.09479,0.6816,0.02559,0.6692,4.981,78.5,1.591,22.2,0.03551,5.379,False,1.0
31,0.5785,0.7524,0.1479,0.02187,0.09232,15.58,2.7960000000000003,0.05927,34.75,0.004412,0.003503,0.01123,29.89,510.3,8.52,0.3112,1,0,0,100.1,0.0758,0.4082,0.002602,0.09171,0.04891,0.5859,0.1629,0.8202,7.102,55.01,5.497999999999999,40.45,0.1794,9.677,False,1.0
32,0.8592,0.6886,2.128,0.0018670000000000002,0.01735,173.6,2.678,32.83,0.02995,0.012329999999999999,94.46,0.6101,33.99,0.019280000000000002,0.1378,9.2,1,0,0,67.4,0.1429,0.4697,0.01475,0.1388,0.4953,0.7569,0.0003263,0.008808,1.103,5.986000000000001,1.411,7.275,0.0002463,0.005222,False,0.0
33,13.38,0.3781,6.712999999999999,0.0020050000000000003,0.04917,119.5,3.517,0.007906999999999999,93.31,0.0185,0.05449,0.02391,0.0927,1.735,0.06097,8.205,1,0,0,77.4,0.4365,0.6452,0.003246,0.02081,0.34700000000000003,0.5493,1.8e-05,0.0001674,0.4486,1.276,16.21,44.41,0.1082,0.8116,False,1.0
34,2.424,0.3286,0.4638,0.0005638999999999999,0.06687,56.88,0.04045,73.97,0.2903,2.315,12.47,1.056,0.1392,0.020630000000000003,9.427,0.1518,1,0,0,130.6,0.1381,0.4161,0.02189,0.1576,0.01226,0.1276,0.4674,0.7586,0.2813,1.1420000000000001,2.126,8.049,0.005431,0.0758,False,0.0
35,92.96,0.5612,5.45,0.01056,0.029039999999999996,158.9,0.1136,17.36,0.0018440000000000002,0.1661,40.48,2.673,1.5319999999999998,0.03729,0.3067,0.05127,1,0,0,72.1,0.4975,0.6855,0.03077,0.1274,0.1584,0.2405,0.07483,0.2195,0.02461,0.0577,4.138999999999999,9.446,0.003189,0.01623,False,0.0
36,56.02,0.6625,0.1215,0.07912000000000001,0.1281,16.46,0.012029999999999999,80.17,0.2076,6.136,3.5610000000000004,243.1,0.0036130000000000003,0.01911,0.07946,1.517,1,0,0,153.4,0.2953,0.4715,0.0312,0.06112000000000001,0.4894,0.6476,0.0018559999999999998,0.0063159999999999996,0.3063,0.5238,24.83,41.05,4.774,13.05,False,0.0
37,1.692,0.6135,1.483,0.002449,0.4749,220.6,1.097,3.5180000000000002,25.17,0.01627,0.028460000000000003,0.06751,16.14,10.99,4.203,0.1468,1,0,0,92.2,0.3194,0.7955,0.03296,0.332,0.010920000000000001,0.1388,0.09622,0.43200000000000005,1.431,6.474,4.013999999999999,17.26,0.03474,0.6409,False,1.0
38,0.875,0.1664,0.7126,0.01575,0.01425,0.635,0.1083,0.0188,51.86,2.31,0.007892,0.01045,58.04,134.2,2.762,0.7596,1,0,0,480.0,0.1642,0.9168,0.0070680000000000005,0.3318,0.051160000000000004,0.4146,0.004755,0.5267,0.1659,2.7430000000000003,0.915,11.74,0.02256,2.965,False,1.0
39,1.949,0.5352,2.15,0.0012490000000000001,0.3996,75.19,0.8363,74.69,21.27,0.007526000000000001,0.09308,0.4009,0.0112,0.1198,3.3939999999999997,0.053520000000000005,1,0,0,,,,,,,,,,,,,,,,False,1.0
40,8.077,0.6406,3.818,0.004358,0.2303,337.6,1.4040000000000001,48.32,0.03669,0.005967,63.9,19.72,0.1034,0.05655,2.329,0.060239999999999995,1,0,0,30.4,0.02725,0.4352,0.003047,0.3142,0.0031420000000000003,0.4917,0.2128,0.8799,0.1419,5.523,2.2119999999999997,52.46,0.003472,1.8769999999999998,False,0.0
41,16.25,0.9287,0.3862,0.0025,0.031239999999999997,15.2,0.7841,13.97,0.001042,0.01434,0.1262,1.006,0.004149,0.02033,1.534,0.06792000000000001,1,0,0,70.1,0.08838,0.2885,0.0119,0.1416,0.02692,0.294,0.4303,0.7877,0.7963,4.151,14.03,71.42,0.4056,10.48,True,1.0
42,0.9161,0.1387,6.736000000000001,0.002858,0.014969999999999999,11.61,5.355,3.265,25.69,0.0043159999999999995,0.002535,0.02557,0.040999999999999995,0.09155,5.0360000000000005,0.1003,1,0,0,379.8,0.3971,0.6852,0.06207000000000001,0.2039,0.01662,0.04477,0.1983,0.4222,1.8769999999999998,4.567,12.45,29.77,0.2001,1.1420000000000001,False,1.0
43,0.1603,0.03431,0.7751,0.0065260000000000006,0.03765,989.4,3.6919999999999997,0.5816,47.55,0.08584,0.001308,0.01121,9.832,32.24,0.7717,0.07198,1,0,0,1587.0,0.1494,0.9695,0.01289,0.5274,0.009184000000000001,0.0145,0.0019260000000000002,0.5551,7.399,120.7,34.97,483.9,0.04653,8.911,False,1.0
44,4.9110000000000005,0.8559,4.261,0.06345,0.023469999999999998,123.7,0.9722,0.02758,70.61,0.042460000000000005,0.1791,0.01255,0.6987,0.03887,0.6252,0.05314,1,0,0,638.9,0.08752,0.7191,0.01643,0.3855,0.05372999999999999,0.09137999999999999,0.17800000000000002,0.6433,0.4002,6.249,2.301,35.59,0.0010199999999999999,0.2399,False,0.0
45,22.33,0.09971000000000001,0.2526,0.013580000000000002,0.1188,504.7,0.1933,0.002168,48.94,0.02535,0.001707,0.02459,0.4608,24.07,13.75,0.19899999999999998,1,0,0,79.4,0.07689,0.1827,0.0129,0.02955,0.04682,0.1131,0.7026,0.8515,0.5899,1.203,142.7,239.2,4.795,13.47,False,1.0
46,24.64,0.9467,7.892,0.001275,0.07901,96.38,0.3938,72.06,0.001973,0.1004,90.17,18.94,0.1494,0.2217,8.795,0.1646,1,0,0,22.3,0.06064,0.7484,0.01349,0.4577,0.002651,0.2002,0.1552,0.8078,0.07506,1.6380000000000001,2.221,30.9,0.004806,0.7792,False,0.0
47,8.372,0.745,1.08,0.004547,0.1347,15.35,0.2519,46.52,0.0028710000000000003,0.8567,2.166,4.779,0.060739999999999995,0.0121,0.6643,2.44,1,0,0,77.8,0.0578,0.5062,0.0008038,0.2344,0.4308,0.8033,0.0005821000000000001,0.3067,0.06917000000000001,2.516,0.8252,24.49,0.006540000000000001,5.2589999999999995,False,1.0
48,0.3859,0.1652,0.6148,0.0005765,0.3766,513.4,3.2710000000000004,60.47,0.00365,1.569,5.939,23.83,0.151,0.01054,0.2067,0.1756,1,0,0,111.8,0.2443,0.4304,0.004028,0.02107,0.5456,0.7068,0.008053,0.055670000000000004,3.2089999999999996,8.837,7.809,19.9,0.044739999999999995,0.2904,False,0.0
49,22.98,0.3495,0.4997,0.023209999999999998,0.02677,2.61,0.06913,49.53,0.0016239999999999998,0.5872,2.182,23.31,0.03465,0.012320000000000001,0.17300000000000001,2.4619999999999997,1,0,0,73.6,0.06355,0.3113,0.006854000000000001,0.06866,0.6657,0.8812,0.001418,0.039560000000000005,0.07927999999999999,0.4772,5.367000000000001,26.63,0.2955,7.1979999999999995,False,1.0
50,34.37,0.1249,1.7380000000000002,0.01784,0.07681,4.199,0.01267,0.2506,89.4,0.007169,0.002074,0.011909999999999999,0.1373,2.532,0.2786,0.06913,1,0,0,395.4,0.1269,0.9027,0.002444,0.3318,0.07149,0.08859,0.004239,0.598,0.006665000000000001,0.2186,1.959,38.6,0.0709,27.14,False,1.0
51,0.07126,0.1431,0.4927,0.002156,0.026019999999999998,136.2,2.926,0.4601,27.54,2.535,0.001145,0.020659999999999998,3.92,1.105,9.609,0.32,1,0,0,,,,,,,,,,,,,,,,False,1.0
52,0.41100000000000003,0.3024,0.4807,0.0009960000000000001,0.2224,115.6,3.904,85.2,0.005065999999999999,0.001836,65.35,96.76,0.06978,0.061989999999999996,5.816,0.053989999999999996,1,0,0,35.0,0.00249,0.2156,0.003633,0.08201,0.004062,0.2319,0.6133,0.9879,2.481,45.41,4.374,41.4,0.03705,3.2969999999999997,False,0.0
53,3.105,0.8441,0.8397,0.07391,0.5204,401.5,9.577,0.040119999999999996,60.26,0.007181,0.006212,0.05995,1.075,67.02,7.381,0.4723,1,0,0,24.0,0.03828,0.4879,0.004118,0.1016,0.0746,0.5851,0.1053,0.845,6.375,63.46,24.64,181.3,0.787,42.62,False,1.0
54,2.108,0.5823,7.629,0.0006446000000000001,0.01144,521.9,4.975,0.4832,73.31,2.273,7.53,0.01356,41.8,0.4342,1.255,0.09802000000000001,1,0,0,81.8,0.1656,0.1744,0.03483,0.03846,0.2036,0.2188,0.5719,0.5924,2.699,2.885,9.777000000000001,10.44,0.002097,0.0023870000000000002,False,0.0
55,15.49,0.3288,4.87,0.004034,0.2993,3.0189999999999997,0.7807,72.72,0.04324,0.001813,0.9601,55.25,0.003386,0.04217,11.14,0.06348,1,0,0,69.3,0.06145,0.222,0.004549,0.02518,0.0241,0.1344,0.6742,0.8957,0.07346,0.3191,4.12,10.88,1.685,11.7,False,1.0
56,15.1,0.5294,3.253,0.08832999999999999,0.02277,768.8,0.8809,25.15,0.004949,0.018359999999999998,70.55,11.09,0.018090000000000002,0.0364,2.635,0.09033,1,0,0,303.1,0.2039,0.946,0.008406,0.6773,0.0008635,0.1815,0.0069700000000000005,0.3165,0.2622,4.6739999999999995,7.602,129.8,0.0017219999999999998,0.4991,False,0.0
57,0.7815,0.2572,0.5272,0.003917,0.157,745.2,0.4448,68.01,0.17600000000000002,0.0851,4.203,1.335,0.207,0.01586,0.08653,2.635,1,0,0,465.6,0.1152,0.9274,0.002407,0.3978,0.058870000000000006,0.6487,2.55e-05,0.045989999999999996,0.7393,22.59,2.32,64.07,0.001141,0.8648,False,1.0
58,5.681,0.1167,1.479,0.0021579999999999998,0.1918,507.3,0.3163,0.1664,38.05,0.0024739999999999996,0.04765,0.09061,3.139,5.779,10.62,0.05295,1,0,0,109.5,0.313,0.6229,0.01289,0.0673,0.015719999999999998,0.07791000000000001,0.3141,0.6239,0.2066,0.6436,11.02,28.73,0.04595,0.3121,False,0.0
59,12.15,0.2372,2.803,0.0007986000000000001,0.2074,41.4,0.04746,69.17,0.004665,20.65,1.273,2.741,0.01269,0.02326,0.106,0.6652,1,0,0,,,,,,,,,,,,,,,,False,1.0
60,0.24600000000000002,0.2482,0.5724,0.0005559,0.0127,2.906,3.3310000000000004,0.0013039999999999998,30.34,0.2,0.006079,0.01187,0.051879999999999996,0.3341,0.1196,0.065,1,0,0,230.1,0.1267,0.6933,0.005405,0.324,0.2221,0.3807,0.0343,0.46,3.8089999999999997,58.31,3.887,53.55,0.06862,12.52,False,1.0
61,2.3369999999999997,0.6024,7.398,0.031,0.0507,7.529,5.303,37.09,0.006226,0.1136,1.255,5.896,0.004533,0.01284,12.46,5.29,1,0,0,130.6,0.1964,0.8171,0.0030489999999999996,0.3291,0.08926,0.4736,0.005301,0.4261,0.4782,9.014,1.902,29.26,0.02503,5.724,False,1.0
62,0.1461,0.5319,0.07693,0.016040000000000002,0.5914,345.8,0.9764,54.53,0.01618,0.006051,3.924,11.77,0.0051920000000000004,0.02257,6.432,0.3909,1,0,0,261.2,0.1257,0.9132,0.01077,0.3129,0.019809999999999998,0.2795,0.01933,0.7132,17.69,175.3,4.874,47.17,0.04065,3.804,False,1.0
63,0.2107,0.2584,9.28,0.03758,0.6228,21.2,8.48,0.2037,40.3,0.2304,0.05679,0.026260000000000002,1.202,0.6066,9.29,0.1193,1,0,0,103.9,0.2277,0.3385,0.02837,0.06771,0.030539999999999998,0.08259,0.5589999999999999,0.6821,1.455,2.877,1.226,2.199,0.04428,0.1415,False,0.0
64,37.65,0.6288,2.8169999999999997,0.0319,0.1911,4.349,0.2143,0.1043,54.26,1.598,0.003781,0.02469,0.3118,24.68,2.515,0.2661,1,0,0,96.2,0.2967,0.6685,0.004972,0.06043,0.2126,0.4851,0.0357,0.3692,0.06794,0.319,4.112,16.75,0.7399,12.23,False,1.0
65,0.7014,0.7076,0.2027,0.0008267000000000001,0.536,190.8,2.479,0.09114,91.77,0.001426,0.00902,0.024909999999999998,2.926,51.29,11.51,0.2967,1,0,0,60.0,0.01653,0.4966,0.00156,0.09572,0.03113,0.608,0.1207,0.9325,5.814,76.71,5.882000000000001,67.87,0.09729,12.94,False,1.0
66,3.147,0.3076,0.4034,0.0018960000000000001,0.04608,171.1,1.2109999999999999,0.003411,79.67,0.09622,0.1131,0.01294,83.23,126.3,2.451,0.1058,1,0,0,49.0,0.001977,0.2313,0.0008394,0.08291,0.01705,0.7549,0.1186,0.9721,0.5317,15.63,6.215,117.0,0.01047,3.6860000000000004,False,0.0
67,0.4231,0.7829999999999999,0.2735,0.0008349000000000001,0.384,56.23,4.146,47.94,0.001807,0.004142,2.176,46.53,0.006046,0.029310000000000003,5.72,0.2518,1,0,0,72.0,0.08132,0.6406,0.001599,0.1354,0.04809,0.6154,0.05312000000000001,0.8038,6.579,89.49,3.658,44.67,0.09169,13.63,False,1.0
68,27.95,0.07318999999999999,8.424,0.009392,0.01863,162.1,0.1429,60.06,0.003785,0.5079,0.1613,0.207,0.002322,0.04657,6.337999999999999,0.05927999999999999,1,0,0,,,,,,,,,,,,,,,,False,1.0
69,46.36,0.5569,3.4589999999999996,0.03188,0.02765,15.16,0.03762,0.001042,52.09,0.008405,0.0379,0.045739999999999996,0.4687,0.1866,2.219,0.1536,1,0,0,,,,,,,,,,,,,,,,False,1.0
70,26.3,0.8385,1.8,0.001718,0.06261,212.7,0.03742,3.113,32.67,0.03356,1.1079999999999999,0.01803,15.29,0.2101,1.98,0.055060000000000005,1,0,0,577.7,0.3336,0.8613,0.01193,0.2822,0.035789999999999995,0.03701,0.06281,0.4411,0.027530000000000002,0.2013,0.8768,6.245,0.00025140000000000004,0.01139,False,0.0
71,82.41,0.3691,0.9506,0.0222,0.2614,20.76,0.01025,0.03403,60.72,0.007462000000000001,0.2076,0.01796,4.611000000000001,12.78,0.06135,0.07239,1,0,0,68.1,0.122,0.4713,0.002207,0.06427999999999999,0.5006,0.777,0.0038229999999999996,0.1781,0.004874,0.04427,1.2109999999999999,8.687999999999999,0.01896,0.9483,False,1.0
72,0.03821,0.8095,0.282,0.003279,0.4503,1.058,1.5619999999999998,17.94,0.4992,0.04367,8.942,7.5329999999999995,0.002555,0.0191,11.55,0.05534,1,0,0,366.9,0.3162,0.6386,0.01599,0.2443,0.002773,0.0623,0.2888,0.5102,4.732,26.21,0.2313,1.204,0.0255,0.6077,False,0.0
73,36.57,0.5653,1.169,0.001062,0.0833,133.2,0.2902,0.03675,63.41,1.344,0.003032,0.07839,14.16,437.9,0.4662,0.06327,1,0,0,82.1,0.08481,0.9347,0.003454,0.4619,0.01969,0.033319999999999995,0.005736,0.7036,0.2297,7.212999999999999,15.43,388.8,0.149,94.55,True,1.0
74,0.09717999999999999,0.5493,0.2476,0.003062,0.01991,0.6515,6.1370000000000005,0.6378,22.15,0.003025,0.005942,0.01141,0.2532,1.162,1.073,0.08354,1,0,0,125.3,0.1261,0.2418,0.031310000000000004,0.09921,0.07915,0.2519,0.4876,0.7067,26.24,59.13,4.6819999999999995,10.27,0.6762,3.19,False,1.0
75,31.88,0.8407,0.4558,0.08296,0.0183,4.8839999999999995,0.01011,0.0010789999999999999,93.49,2.927,1.419,0.01956,16.06,4.899,0.6836,5.404,1,0,0,86.1,0.1001,0.5688,0.004224,0.1003,0.4122,0.8273,0.0008638999999999999,0.059860000000000003,0.01625,0.2014,0.6465,7.321000000000001,0.003636,0.1927,False,1.0
76,23.18,0.23,0.7607,0.0015949999999999998,0.02214,0.6331,0.01435,60.43,0.004207,0.05609,0.3751,8.375,0.003055,0.07102,1.0170000000000001,0.05272,1,0,0,157.0,0.2314,0.778,0.038130000000000004,0.1859,0.04348,0.1659,0.09627999999999999,0.5967,0.055779999999999996,0.2196,5.882999999999999,18.98,1.224,12.49,False,1.0
77,0.6161,0.2659,4.23,0.026369999999999998,0.07073,2.94,0.505,0.001334,77.93,0.7018,0.1254,0.013319999999999999,37.94,14.04,5.064,0.115,1,0,0,282.1,0.1773,0.7648,0.006379999999999999,0.1911,0.01813,0.3537,0.1108,0.7134,0.1264,1.855,0.35700000000000004,3.37,0.005031,0.2525,False,0.0
78,24.9,0.8464,0.5018,0.004545,0.1078,11.11,0.1163,0.0029920000000000003,16.58,0.00307,0.0117,0.02198,0.1541,1.371,0.27899999999999997,0.07418,1,0,0,90.3,0.4077,0.5908,0.026680000000000002,0.1083,0.2571,0.3445,0.07249,0.2246,0.2271,0.5178,6.7139999999999995,15.12,0.4379,2.218,False,1.0
79,0.1833,0.1121,0.6544,0.06337000000000001,0.02845,42.81,1.83,0.358,97.14,0.0744,0.001934,0.04118,25.32,129.8,4.938,0.1061,1,0,0,836.7,0.08502,0.9878,0.0034869999999999996,0.4693,0.002747,0.004086,0.0009737999999999999,0.7851,3.2460000000000004,125.9,5.706,140.0,0.02175,13.01,False,1.0
80,5.6160000000000005,0.7786,1.578,0.012,0.6788,90.31,2.025,0.0134,86.54,0.036719999999999996,0.01492,0.1118,6.466,340.3,3.3760000000000003,0.09643,1,0,0,26.9,0.05727,0.6715,0.0020350000000000004,0.09941,0.04609,0.5439,0.07451,0.8497,0.6697,10.98,5.777,57.03,0.2515,24.44,True,1.0
81,0.7241,0.059160000000000004,2.057,0.005002,0.05658,533.5,3.125,0.1207,62.64,0.005898,0.010029999999999999,0.01916,49.44,179.0,1.482,0.06121,1,0,0,218.4,0.07415,0.7774,0.005815,0.2919,0.01569,0.43,0.07032000000000001,0.8234,1.294,28.18,18.99,232.1,0.03827,5.715,False,1.0
82,1.9240000000000002,0.6717,0.7082,0.001037,0.1539,71.87,3.3110000000000004,0.124,31.25,0.0904,0.07626000000000001,0.0323,0.847,4.333,0.3577,0.1903,1,0,0,36.7,0.09842999999999999,0.3588,0.01377,0.09672,0.3616,0.6623,0.05798,0.4526,3.6689999999999996,14.83,10.79,40.07,0.2494,3.438,False,1.0
